threshold,precision,recall,specificity,false_positive_rate,f1,tp,fp,tn,fn
0.05,0.20951985034296405,0.993103448275862,0.04567126725219573,0.9543287327478043,0.34603501544799176,1008,3803,182,7
0.06,0.21553228621291448,0.9733990147783251,0.09761606022584693,0.9023839397741531,0.35292016431505624,988,3596,389,27
0.07,0.21553228621291448,0.9733990147783251,0.09761606022584693,0.9023839397741531,0.35292016431505624,988,3596,389,27
0.08,0.22617924528301886,0.9448275862068966,0.1766624843161857,0.8233375156838143,0.36498572787821126,959,3281,704,56
0.09,0.23321730482347092,0.9241379310344827,0.2260978670012547,0.7739021329987453,0.37244391502878704,938,3084,901,77
0.1,0.23321730482347092,0.9241379310344827,0.2260978670012547,0.7739021329987453,0.37244391502878704,938,3084,901,77
0.11,0.24794791961505802,0.8630541871921182,0.33324968632371393,0.666750313676286,0.38522427440633245,876,2657,1328,139
0.12,0.2580547112462006,0.8364532019704434,0.38745294855708906,0.612547051442911,0.39442508710801394,849,2441,1544,166
0.13,0.2580547112462006,0.8364532019704434,0.38745294855708906,0.612547051442911,0.39442508710801394,849,2441,1544,166
0.14,0.2692055154300722,0.8078817733990148,0.44140526976160604,0.558594730238394,0.40384141836985965,820,2226,1759,195
0.15,0.2920772566022862,0.7300492610837438,0.5493099121706398,0.45069008782936015,0.4172297297297297,741,1796,2189,274
0.16,0.30980392156862746,0.7004926108374384,0.6025094102885822,0.3974905897114178,0.42960725075528705,711,1584,2401,304
0.17,0.3254352030947776,0.6630541871921182,0.6499372647427855,0.35006273525721454,0.4365877392150503,673,1395,2590,342
0.18,0.3417989417989418,0.6364532019704433,0.6878293601003764,0.31217063989962357,0.444750430292599,646,1244,2741,369
0.19,0.3417989417989418,0.6364532019704433,0.6878293601003764,0.31217063989962357,0.444750430292599,646,1244,2741,369
0.2,0.3589296102385108,0.6078817733990147,0.7234629861982435,0.27653701380175655,0.451353328456474,617,1102,2883,398
0.21,0.3953006219765031,0.5635467980295567,0.7804265997490589,0.21957340025094108,0.4646628757108042,572,875,3110,443
0.22,0.42240726722180166,0.5497536945812808,0.8085319949811794,0.19146800501882055,0.4777397260273973,558,763,3222,457
0.23,0.44071954210956665,0.5310344827586206,0.8283563362609787,0.1716436637390213,0.48168007149240394,539,684,3301,476
0.24,0.4574468085106383,0.5083743842364532,0.8464240903387704,0.15357590966122958,0.48156789547363515,516,612,3373,499
0.25,0.4732394366197183,0.496551724137931,0.8592220828105396,0.14077791718946042,0.4846153846153846,504,561,3424,511
0.26,0.4934804413239719,0.48472906403940885,0.8732747804265998,0.12672521957340022,0.489065606361829,492,505,3480,523
0.27,0.4934804413239719,0.48472906403940885,0.8732747804265998,0.12672521957340022,0.489065606361829,492,505,3480,523
0.28,0.5063025210084033,0.4748768472906404,0.8820577164366374,0.11794228356336256,0.4900864260294865,482,470,3515,533
0.29,0.5328638497652582,0.44729064039408867,0.9001254705144291,0.09987452948557085,0.4863417246920193,454,398,3587,561
0.3,0.5447852760736196,0.4374384236453202,0.906900878293601,0.093099121706399,0.4852459016393443,444,371,3614,571
0.31,0.5523932729624839,0.4206896551724138,0.9131744040150565,0.08682559598494355,0.47762863534675615,427,346,3639,588
0.32,0.5604838709677419,0.41083743842364534,0.9179422835633626,0.0820577164366374,0.47413303013075603,417,327,3658,598
0.33,0.5604838709677419,0.41083743842364534,0.9179422835633626,0.0820577164366374,0.47413303013075603,417,327,3658,598
0.34,0.5676056338028169,0.39704433497536945,0.922961104140527,0.07703889585947299,0.46724637681159414,403,307,3678,612
0.35,0.5829528158295282,0.37733990147783253,0.9312421580928482,0.06875784190715184,0.458133971291866,383,274,3711,632
0.36,0.5892575039494471,0.367487684729064,0.9347553324968633,0.06524466750313673,0.4526699029126213,373,260,3725,642
0.37,0.5897009966777409,0.3497536945812808,0.9380175658720201,0.06198243412797988,0.4390847247990105,355,247,3738,660
0.38,0.5951134380453752,0.3359605911330049,0.9417816813048934,0.05821831869510663,0.42947103274559195,341,232,3753,674
0.39,0.5935828877005348,0.32807881773399017,0.9427854454203263,0.057214554579673726,0.4225888324873097,333,228,3757,682
0.4,0.599624060150376,0.3142857142857143,0.9465495608531995,0.05345043914680048,0.4124111182934712,319,213,3772,696
0.41,0.6055226824457594,0.3024630541871921,0.9498117942283564,0.050188205771643624,0.40341655716162944,307,200,3785,708
0.42,0.6147368421052631,0.2876847290640394,0.954077791718946,0.04592220828105398,0.3919463087248322,292,183,3802,723
0.43,0.6191536748329621,0.2738916256157635,0.9570890840652446,0.04291091593475538,0.3797814207650273,278,171,3814,737
0.44,0.6226415094339622,0.2600985221674877,0.9598494353826851,0.04015056461731492,0.3669214732453092,264,160,3825,751
0.45,0.6265356265356266,0.2512315270935961,0.9618569636135508,0.038143036386449225,0.3586497890295359,255,152,3833,760
0.46,0.626984126984127,0.2334975369458128,0.9646173149309912,0.03538268506900877,0.34027279253409903,237,141,3844,778
0.47,0.6308539944903582,0.22561576354679802,0.9663739021329988,0.033626097867001215,0.3323657474600871,229,134,3851,786
0.48,0.6323529411764706,0.21182266009852216,0.9686323713927227,0.031367628607277265,0.3173431734317343,215,125,3860,800
0.49,0.6386292834890965,0.2019704433497537,0.9708908406524467,0.029109159347553315,0.30688622754491024,205,116,3869,810
0.5,0.6375838926174496,0.18719211822660098,0.9728983688833124,0.02710163111668762,0.2894135567402894,190,108,3877,825
0.51,0.6333333333333333,0.1684729064039409,0.9751568381430364,0.024843161856963558,0.266147859922179,171,99,3886,844
0.52,0.6378600823045267,0.15270935960591134,0.9779171894604768,0.022082810539523212,0.246422893481717,155,88,3897,860
0.53,0.6318181818181818,0.13694581280788176,0.9796737766624843,0.02032622333751566,0.2251012145748988,139,81,3904,876
0.54,0.6294416243654822,0.12216748768472907,0.98168130489335,0.018318695106649963,0.20462046204620463,124,73,3912,891
0.55,0.6214689265536724,0.10837438423645321,0.9831869510664993,0.016813048933500663,0.18456375838926176,110,67,3918,905
0.56,0.6121212121212121,0.09950738916256158,0.983939774153074,0.016060225846926013,0.17118644067796612,101,64,3921,914
0.57,0.6223776223776224,0.08768472906403942,0.9864491844416562,0.01355081555834381,0.153713298791019,89,54,3931,926
0.58,0.6141732283464567,0.07684729064039408,0.9877038895859473,0.012296110414052652,0.13660245183887915,78,49,3936,937
0.59,0.6,0.06206896551724138,0.9894604767879548,0.01053952321204521,0.11249999999999999,63,42,3943,952
0.6,0.5978260869565217,0.054187192118226604,0.990715181932246,0.009284818067754053,0.09936766034327009,55,37,3948,960
0.61,0.6309523809523809,0.052216748768472904,0.9922208281053952,0.007779171894604753,0.09645131938125567,53,31,3954,962
0.62,0.6623376623376623,0.05024630541871921,0.9934755332496863,0.006524466750313707,0.0934065934065934,51,26,3959,964
0.63,0.6825396825396826,0.042364532019704436,0.9949811794228356,0.005018820577164407,0.07977736549165121,43,20,3965,972
0.64,0.7222222222222222,0.03842364532019704,0.9962358845671268,0.0037641154328732496,0.07296538821328344,39,15,3970,976
0.65,0.7272727272727273,0.03152709359605911,0.9969887076537014,0.0030112923462985997,0.06043437204910292,32,12,3973,983
0.66,0.7777777777777778,0.027586206896551724,0.9979924717691343,0.002007528230865696,0.0532825880114177,28,8,3977,987
0.67,0.8181818181818182,0.017733990147783252,0.9989962358845671,0.0010037641154329036,0.034715525554484095,18,4,3981,997
0.68,0.8823529411764706,0.014778325123152709,0.9994981179422836,0.0005018820577163963,0.029069767441860465,15,2,3983,1000
0.69,0.8666666666666667,0.012807881773399015,0.9994981179422836,0.0005018820577163963,0.025242718446601944,13,2,3983,1002
0.7,0.9285714285714286,0.012807881773399015,0.9997490589711417,0.00025094102885825365,0.025267249757045675,13,1,3984,1002
0.71,0.9090909090909091,0.009852216748768473,0.9997490589711417,0.00025094102885825365,0.01949317738791423,10,1,3984,1005
0.72,0.8888888888888888,0.007881773399014778,0.9997490589711417,0.00025094102885825365,0.015625,8,1,3984,1007
0.73,0.8571428571428571,0.005911330049261084,0.9997490589711417,0.00025094102885825365,0.011741682974559688,6,1,3984,1009
0.74,0.8,0.003940886699507389,0.9997490589711417,0.00025094102885825365,0.007843137254901959,4,1,3984,1011
0.75,1.0,0.002955665024630542,1.0,0.0,0.005893909626719058,3,0,3985,1012
0.76,1.0,0.002955665024630542,1.0,0.0,0.005893909626719058,3,0,3985,1012
0.77,1.0,0.0019704433497536944,1.0,0.0,0.003933136676499509,2,0,3985,1013
0.78,1.0,0.0009852216748768472,1.0,0.0,0.0019685039370078736,1,0,3985,1014
0.79,1.0,0.0009852216748768472,1.0,0.0,0.0019685039370078736,1,0,3985,1014
0.8,1.0,0.0009852216748768472,1.0,0.0,0.0019685039370078736,1,0,3985,1014
0.81,1.0,0.0009852216748768472,1.0,0.0,0.0019685039370078736,1,0,3985,1014
0.82,1.0,0.0009852216748768472,1.0,0.0,0.0019685039370078736,1,0,3985,1014
0.83,1.0,0.0009852216748768472,1.0,0.0,0.0019685039370078736,1,0,3985,1014
0.84,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.85,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.86,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.87,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.88,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.89,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.9,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.91,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.92,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.93,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.94,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
0.95,0.0,0.0,1.0,0.0,0.0,0,0,3985,1015
